Statistical profiling result from isolate-0x62d8be0-4902-v8.log, (19355 ticks, 12872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^end /var/www/html/kwaku/fatou/yellow/node_modules/express-session/index.js:250:27
      1    0.0%    0.0%  JS: ^emit node:events:461:44
      1    0.0%    0.0%  JS: ^dirname node:path:1278:10
      1    0.0%    0.0%  JS: ^decode /var/www/html/kwaku/fatou/yellow/node_modules/html-entities/lib/index.js:138:16
      1    0.0%    0.0%  JS: ^dateFromMs node:internal/fs/utils:469:20
      1    0.0%    0.0%  JS: ^d /var/www/html/kwaku/fatou/yellow/node_modules/@faker-js/faker/dist/cjs/internal/bind-this-to-member-functions.js:1:504
      1    0.0%    0.0%  JS: ^createHash node:crypto:137:20
      1    0.0%    0.0%  JS: ^clearTimeout node:timers:185:22
      1    0.0%    0.0%  JS: ^checkListener node:events:273:23
      1    0.0%    0.0%  JS: ^canBeRequiredWithoutScheme node:internal/bootstrap/realm:288:36
      1    0.0%    0.0%  JS: ^basename node:path:1309:11
      1    0.0%    0.0%  JS: ^assertSize node:internal/crypto/random:81:20
      1    0.0%    0.0%  JS: ^allocUnsafe node:buffer:413:42
      1    0.0%    0.0%  JS: ^alloc node:buffer:400:30
      1    0.0%    0.0%  JS: ^_unrefTimer node:net:505:52
      1    0.0%    0.0%  JS: ^__append :8:20
      1    0.0%    0.0%  JS: ^WritableState node:internal/streams/writable:77:23
      1    0.0%    0.0%  JS: ^Stream node:internal/streams/legacy:10:16
      1    0.0%    0.0%  JS: ^Socket.read node:net:766:33
      1    0.0%    0.0%  JS: ^Socket._writeGeneric node:net:921:42
      1    0.0%    0.0%  JS: ^Socket._getpeername node:net:854:41
      1    0.0%    0.0%  JS: ^Readable.read node:internal/streams/readable:421:35
      1    0.0%    0.0%  JS: ^Readable.push node:internal/streams/readable:252:35
      1    0.0%    0.0%  JS: ^Protocol._parsePacket /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/protocol/Protocol.js:242:43
      1    0.0%    0.0%  JS: ^Protocol._emitPacket /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/protocol/Protocol.js:302:42
      1    0.0%    0.0%  JS: ^Module.load node:internal/modules/cjs/loader:1079:33
      1    0.0%    0.0%  JS: ^Module._resolveLookupPaths node:internal/modules/cjs/loader:772:38
      1    0.0%    0.0%  JS: ^Module._extensions..js node:internal/modules/cjs/loader:1250:37
      1    0.0%    0.0%  JS: ^Module._compile node:internal/modules/cjs/loader:1195:37
      1    0.0%    0.0%  JS: ^Connection._implyConnect /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/Connection.js:452:46
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/validators:93:3
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/fs/utils:696:38
      1    0.0%    0.0%  JS: ^<anonymous> node:fs:198:10
      1    0.0%    0.0%  JS: ^<anonymous> /var/www/html/kwaku/fatou/yellow/server.js:178:36
      1    0.0%    0.0%  JS: ^<anonymous> /var/www/html/kwaku/fatou/yellow/node_modules/mysql/lib/Connection.js:520:19
      1    0.0%    0.0%  JS: ^<anonymous> /var/www/html/kwaku/fatou/yellow/node_modules/express/lib/router/index.js:280:64
      1    0.0%    0.0%  JS: *validateNumber node:internal/validators:175:24
      1    0.0%    0.0%  JS: *updateChildren node:internal/modules/cjs/loader:198:24
      1    0.0%    0.0%  JS: *toString node:buffer:824:46
